,Unnamed: 0,Route,Unnamed: 2,Conc,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Excipients
0,HUMAN PRESCRIPTION DRUG,AURICULAR (OTIC),ciprofloxacin (UNII: 5E8K9I0O4U) (ciprofloxacin - UNII:5E8K9I0O4U),0.75 mg  in 0.25 mL,glycerin (UNII: PDC6A3C0OX), ,polysorbate 80 (UNII: 6OZP39ZG8H), ,povidone K90 (UNII: RDH86HJV5Z), ,water (UNII: 059QF0KO0R), ,,,,,,,,,,,,,"1 in 1 CARTON;14 in 1 POUCH;0.25 mL in 1 VIAL, SINGLE-DOSE; Type 0: Not a Combination Product;","glycerin ,polysorbate 80 ,povidone k90 ,water "
1,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,ciprofloxacin hydrochloride (UNII: 4BA73M5E37) (ciprofloxacin - UNII:5E8K9I0O4U),3 mg  in 1 mL,benzalkonium chloride (UNII: F5UM2KM3W7), ,acetic acid (UNII: Q40Q9N063P), ,edetate disodium (UNII: 7FLD91C86K), ,mannitol (UNII: 3OWL53L36A), ,sodium acetate (UNII: 4550K0SC9B), ,hydrochloric acid (UNII: QTT17582CB), ,sodium hydroxide (UNII: 55X04QC32I), ,water (UNII: 059QF0KO0R), ,,,,,"1 in 1 CARTON;2.5 mL in 1 BOTTLE, DROPPER; Type 0: Not a Combination Product;1 in 1 CARTON;5 mL in 1 BOTTLE, DROPPER; Type 0: Not a Combination Product;1 in 1 CARTON;10 mL in 1 BOTTLE, DROPPER; Type 0: Not a Combination Product;","acetic acid ,benzalkonium chloride ,edetate disodium ,hydrochloric acid ,mannitol ,sodium acetate ,sodium hydroxide "
2,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,Ciprofloxacin Hydrochloride (UNII: 4BA73M5E37) (Ciprofloxacin - UNII:5E8K9I0O4U),3 mg  in 1 mL,Acetic Acid (UNII: Q40Q9N063P), ,Edetate Disodium (UNII: 7FLD91C86K), ,Mannitol (UNII: 3OWL53L36A), ,Sodium Acetate (UNII: 4550K0SC9B), ,Hydrochloric Acid (UNII: QTT17582CB), ,Sodium Hydroxide (UNII: 55X04QC32I), ,Water (UNII: 059QF0KO0R), ,Benzalkonium Chloride (UNII: F5UM2KM3W7), ,,,,,"1 in 1 CARTON;5 mL in 1 BOTTLE, DROPPER; Type 0: Not a Combination Product;","acetic acid ,edetate disodium ,hydrochloric acid ,mannitol ,sodium acetate ,sodium hydroxide ,water "
3,HUMAN PRESCRIPTION DRUG,TOPICAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),3.5 mg  in 1 mL,BENZALKONIUM CHLORIDE (UNII: F5UM2KM3W7),0.06 mg  in 1 mL,MANNITOL (UNII: 3OWL53L36A),46 mg  in 1 mL,EDETATE DISODIUM (UNII: 7FLD91C86K),0.5 mg  in 1 mL,SODIUM ACETATE (UNII: 4550K0SC9B), ,ACETIC ACID (UNII: Q40Q9N063P), ,WATER (UNII: 059QF0KO0R), ,,,,,,,,,48 in 1 CASE;2.5 mL in 1 BOTTLE; Type 0: Not a Combination Product;48 in 1 CASE;5 mL in 1 BOTTLE; Type 0: Not a Combination Product;,"acetic acid ,benzalkonium chloride ,edetate disodium ,mannitol ,sodium acetate ,water "
4,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),250 mg,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,HYPROMELLOSE 2910 (5 MPA.S) (UNII: R75537T0T4), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,MICROCRYSTALLINE CELLULOSE (UNII: OP1R32D61U), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,POVIDONE K30 (UNII: U725QWY32X), ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,20 in 1 BOTTLE; Type 0: Not a Combination Product;30 in 1 BOTTLE; Type 0: Not a Combination Product;100 in 1 BOTTLE; Type 0: Not a Combination Product;1000 in 1 BOTTLE; Type 0: Not a Combination Product;,"hypromellose 2910  ,magnesium stearate ,microcrystalline cellulose ,polyethylene glycol 400 ,povidone k30 ,silicon dioxide ,sodium starch glycolate type a potato "
5,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),500 mg,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,HYPROMELLOSE 2910 (5 MPA.S) (UNII: R75537T0T4), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,MICROCRYSTALLINE CELLULOSE (UNII: OP1R32D61U), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,POVIDONE K30 (UNII: U725QWY32X), ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,20 in 1 BOTTLE; Type 0: Not a Combination Product;30 in 1 BOTTLE; Type 0: Not a Combination Product;100 in 1 BOTTLE; Type 0: Not a Combination Product;500 in 1 BOTTLE; Type 0: Not a Combination Product;1000 in 1 BOTTLE; Type 0: Not a Combination Product;,"hypromellose 2910  ,magnesium stearate ,microcrystalline cellulose ,polyethylene glycol 400 ,povidone k30 ,silicon dioxide ,sodium starch glycolate type a potato "
6,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),750 mg,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,HYPROMELLOSE 2910 (5 MPA.S) (UNII: R75537T0T4), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,MICROCRYSTALLINE CELLULOSE (UNII: OP1R32D61U), ,POLYETHYLENE GLYCOL 400 (UNII: B697894SGQ), ,POVIDONE K30 (UNII: U725QWY32X), ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,20 in 1 BOTTLE; Type 0: Not a Combination Product;50 in 1 BOTTLE; Type 0: Not a Combination Product;100 in 1 BOTTLE; Type 0: Not a Combination Product;500 in 1 BOTTLE; Type 0: Not a Combination Product;1000 in 1 BOTTLE; Type 0: Not a Combination Product;,"hypromellose 2910  ,magnesium stearate ,microcrystalline cellulose ,polyethylene glycol 400 ,povidone k30 ,silicon dioxide ,sodium starch glycolate type a potato "
7,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),750 mg,LACTOSE MONOHYDRATE (UNII: EWQ57Q8I5X), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,MODIFIED CORN STARCH (1-OCTENYL SUCCINIC ANHYDRIDE) (UNII: 461P5CJN6T), ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,,,,,,,,,,,,,50 in 1 BOTTLE; Type 0: Not a Combination Product;100 in 1 BOTTLE; Type 0: Not a Combination Product;400 in 1 BOTTLE; Type 0: Not a Combination Product;,"lactose monohydrate ,magnesium stearate ,modified corn starch  ,sodium starch glycolate type a potato "
8,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),500 mg,LACTOSE MONOHYDRATE (UNII: EWQ57Q8I5X), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,MODIFIED CORN STARCH (1-OCTENYL SUCCINIC ANHYDRIDE) (UNII: 461P5CJN6T), ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,,,,,,,,,,,,,100 in 1 BOTTLE; Type 0: Not a Combination Product;500 in 1 BOTTLE; Type 0: Not a Combination Product;,"lactose monohydrate ,magnesium stearate ,modified corn starch  ,sodium starch glycolate type a potato "
9,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),250 mg,LACTOSE MONOHYDRATE (UNII: EWQ57Q8I5X), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,MODIFIED CORN STARCH (1-OCTENYL SUCCINIC ANHYDRIDE) (UNII: 461P5CJN6T), ,SODIUM STARCH GLYCOLATE TYPE A POTATO (UNII: 5856J3G2A2), ,,,,,,,,,,,,,100 in 1 BOTTLE; Type 0: Not a Combination Product;1000 in 1 BOTTLE; Type 0: Not a Combination Product;,"lactose monohydrate ,magnesium stearate ,modified corn starch  ,sodium starch glycolate type a potato "
10,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),250 mg,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,CROSPOVIDONE (UNII: 2S7830E561), ,HYPROMELLOSES (UNII: 3NXW29V3WO), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,"POLYETHYLENE GLYCOL, UNSPECIFIED (UNII: 3WJQ0SDW1A)", ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,,,,,"100 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;20 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;28 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;","crospovidone ,hypromelloses ,magnesium stearate ,polyethylene glycol, unspecified ,silicon dioxide ,titanium dioxide "
11,HUMAN PRESCRIPTION DRUG,ORAL,CIPROFLOXACIN HYDROCHLORIDE (UNII: 4BA73M5E37) (CIPROFLOXACIN - UNII:5E8K9I0O4U),500 mg,SILICON DIOXIDE (UNII: ETJ7Z6XBU4), ,CROSPOVIDONE (UNII: 2S7830E561), ,HYPROMELLOSES (UNII: 3NXW29V3WO), ,MAGNESIUM STEARATE (UNII: 70097M6I30), ,"POLYETHYLENE GLYCOL, UNSPECIFIED (UNII: 3WJQ0SDW1A)", ,TITANIUM DIOXIDE (UNII: 15FIX9V2JP), ,,,,,,,,,"100 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;500 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;1000 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;20 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;28 in 1 BOTTLE, PLASTIC; Type 0: Not a Combination Product;","crospovidone ,hypromelloses ,magnesium stearate ,polyethylene glycol, unspecified ,silicon dioxide ,titanium dioxide "
